District,Soil_Type,Crop_Type,Day_After_Sowing,Temperature(°C),Humidity(%),Rainfall(mm),Area_in_Acre,Water_Requirement(L/day)
Koderma,Clay Loam,Ragi,59,21.2,88.2,37.7,8.68,11800.0
Seraikela-Kharsawan,Black Soil,Sorghum,15,27.4,48.6,36.7,0.77,5918.0
Gumla,Black Soil,Groundnut,29,23.9,79.7,7.4,3.19,7741.0
Godda,Red Sandy Soil,Jowar,40,38.7,55.8,17.5,2.84,9186.0
Palamu,Gravelly Soil,Linseed,31,31.6,51.2,10.8,0.56,5868.0
Koderma,Laterite Soil,Sorghum,73,25.7,88.5,14.7,8.83,13051.0
Khunti,Laterite Soil,Sesame,11,34.1,80.1,14.4,3.51,8529.0
Godda,Sandy Loam,Sugarcane,81,27.5,71.5,48.8,3.8,14129.0
Godda,Black Soil,Sunflower,62,22.6,74.9,37.5,1.45,5613.0
Bokaro,Laterite Soil,Barley,136,24.7,89.6,39.0,9.9,13602.0
Palamu,Black Soil,Jowar,51,32.9,69.7,13.9,8.35,13771.0
Dhanbad,Laterite Soil,Ragi,57,21.0,45.1,0.0,5.93,11077.0
Hazaribagh,Clay Loam,Cotton,132,25.5,43.2,2.9,7.83,15726.0
Pakur,Red Sandy Soil,Maize,147,24.2,73.3,27.6,7.88,12749.0
Deoghar,Black Soil,Wheat,24,24.0,72.9,14.3,6.74,12367.0
Hazaribagh,Alluvial Soil,Maize,41,33.7,77.4,9.6,2.15,8206.0
Ranchi,Red Sandy Soil,Sorghum,49,36.5,45.4,2.5,7.34,14178.0
Pakur,Sandy Loam,Groundnut,36,34.3,87.2,43.8,5.91,10548.0
Pakur,Red Sandy Soil,Linseed,10,32.9,67.6,30.0,7.38,11942.0
Sahebganj,Laterite Soil,Barley,78,38.3,72.5,5.4,5.66,11907.0
Dumka,Sandy Loam,Jowar,135,21.2,41.7,38.3,9.59,14193.0
Lohardaga,Red Sandy Soil,Ragi,140,23.3,88.0,37.8,6.46,9794.0
Gumla,Sandy Loam,Millet,86,28.3,68.1,14.5,5.95,10647.0
Gumla,Alluvial Soil,Jowar,60,27.4,68.2,9.4,8.51,13516.0
Khunti,Red Sandy Soil,Maize,96,28.4,87.2,40.7,4.1,8710.0
Pakur,Black Soil,Sesame,8,24.1,86.5,16.5,3.5,7285.0
Seraikela-Kharsawan,Black Soil,Wheat,135,23.0,51.0,42.4,5.28,10902.0
Dhanbad,Gravelly Soil,Linseed,107,30.2,86.6,2.2,6.05,10328.0
