epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.9844,0.60148,0.99685,1,0.03327,0.000413669,0.000413669,0.000413669
2,28.2334,0.11549,0.99685,1,0.01194,0.000748132,0.000748132,0.000748132
3,41.306,0.10436,0.99527,1,0.01543,0.0010001,0.0010001,0.0010001
4,54.3192,0.0787,0.99527,1,0.00946,0.00087875,0.00087875,0.00087875
5,67.1157,0.06756,1,1,0.00351,0.000755,0.000755,0.000755
6,80.0898,0.06093,0.99842,1,0.00551,0.00063125,0.00063125,0.00063125
7,92.9755,0.03621,0.99527,1,0.01442,0.0005075,0.0005075,0.0005075
8,105.795,0.0425,0.99685,1,0.01123,0.00038375,0.00038375,0.00038375
9,118.768,0.02488,0.99685,1,0.00647,0.00026,0.00026,0.00026
10,132.38,0.01439,0.99842,1,0.00377,0.00013625,0.00013625,0.00013625
