epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.7582,0.9255,0.94583,1,0.21494,0.000410714,0.000410714,0.000410714
2,30.4442,0.26648,0.9875,1,0.07099,0.00074547,0.00074547,0.00074547
3,44.265,0.20224,0.96667,1,0.1067,0.000997726,0.000997726,0.000997726
4,57.9874,0.18359,0.97083,1,0.06182,0.00087875,0.00087875,0.00087875
5,71.4591,0.08283,0.97917,1,0.05762,0.000755,0.000755,0.000755
6,84.7429,0.13045,0.98333,1,0.09253,0.00063125,0.00063125,0.00063125
7,98.0454,0.1321,0.9875,1,0.03549,0.0005075,0.0005075,0.0005075
8,111.551,0.08375,0.9875,1,0.02825,0.00038375,0.00038375,0.00038375
9,125.211,0.06926,0.99167,1,0.01944,0.00026,0.00026,0.00026
10,138.652,0.06097,0.99583,1,0.02007,0.00013625,0.00013625,0.00013625
