epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.9061,1.24146,0.95302,1,0.43159,0.000361917,0.000361917,0.000361917
2,27.5819,0.36039,0.98658,1,0.05031,0.000659757,0.000659757,0.000659757
3,40.6769,0.16392,1,1,0.01974,0.000884272,0.000884272,0.000884272
4,53.9593,0.15289,0.98658,1,0.06656,0.000781033,0.000781033,0.000781033
5,67.0206,0.14131,1,1,0.0144,0.000671044,0.000671044,0.000671044
6,80.1566,0.12696,0.99329,1,0.02372,0.000561055,0.000561055,0.000561055
7,93.1066,0.11666,0.97987,1,0.04356,0.000451066,0.000451066,0.000451066
8,106.446,0.10728,1,1,0.01887,0.000341077,0.000341077,0.000341077
9,119.617,0.06599,1,1,0.01084,0.000231088,0.000231088,0.000231088
10,133.058,0.06992,0.99329,1,0.02097,0.000121099,0.000121099,0.000121099
