epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,42.4008,1.2427,0.9221,0.99523,0.32867,0.000300804,0.000300804,0.000300804
2,86.0628,0.40126,0.9682,1,0.12317,0.000544028,0.000544028,0.000544028
3,129.036,0.27737,0.97933,1,0.07317,0.000727257,0.000727257,0.000727257
4,171.01,0.23883,0.98728,1,0.0463,0.000639027,0.000639027,0.000639027
5,210.026,0.16691,0.98887,1,0.03742,0.000549036,0.000549036,0.000549036
6,248.783,0.13281,0.99523,1,0.02319,0.000459045,0.000459045,0.000459045
7,287.938,0.11358,0.99682,1,0.01665,0.000369054,0.000369054,0.000369054
8,327.013,0.11243,0.99364,1,0.01794,0.000279063,0.000279063,0.000279063
9,366.859,0.08787,0.99682,1,0.01307,0.000189072,0.000189072,0.000189072
10,406.336,0.08494,0.99682,1,0.01093,9.9081e-05,9.9081e-05,9.9081e-05
