epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.83102,0.19478,0.99737,1,0.01309,0.000549052,0.000549052,0.000549052
2,18.7053,0.0183,0.99737,1,0.01384,0.000995351,0.000995351,0.000995351
3,27.4783,0.01913,0.99737,1,0.00649,0.00133163,0.00133163,0.00133163
4,36.0124,0.00645,0.99737,1,0.00584,0.0011719,0.0011719,0.0011719
5,44.5551,0.01392,1,1,0.00094,0.00100687,0.00100687,0.00100687
6,53.0976,0.00883,0.99737,1,0.0037,0.000841835,0.000841835,0.000841835
7,61.6869,0.00945,0.99737,1,0.00304,0.000676802,0.000676802,0.000676802
8,70.2866,0.00431,0.99737,1,0.00444,0.000511769,0.000511769,0.000511769
9,78.7054,0.0035,0.99737,1,0.00353,0.000346736,0.000346736,0.000346736
10,87.1738,0.00255,0.99737,1,0.0037,0.000181703,0.000181703,0.000181703
