epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.4193,1.54736,0.52,1,1.41243,0.00023331,0.00023331,0.00023331
2,10.4411,1.12838,0.65333,1,1.05501,0.000430435,0.000430435,0.000430435
3,15.2963,0.72645,0.72,1,0.75911,0.000579164,0.000579164,0.000579164
4,19.9589,0.517,0.73333,1,0.98356,0.000679499,0.000679499,0.000679499
5,24.5429,0.4006,0.78667,1,0.72764,0.000671044,0.000671044,0.000671044
6,29.1664,0.29233,0.77333,1,0.74504,0.000561055,0.000561055,0.000561055
7,33.7422,0.3025,0.78667,1,0.80754,0.000451066,0.000451066,0.000451066
8,38.4768,0.23644,0.82667,1,0.81291,0.000341077,0.000341077,0.000341077
9,43.1241,0.22859,0.8,1,0.77856,0.000231088,0.000231088,0.000231088
10,47.6706,0.23974,0.81333,1,1.03044,0.000121099,0.000121099,0.000121099
