epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,20.2446,0.60234,0.97139,1,0.06903,0.000414201,0.000414201,0.000414201
2,39.6335,0.17535,0.96359,1,0.08822,0.000748612,0.000748612,0.000748612
3,61.1043,0.1642,0.97009,1,0.07741,0.00100052,0.00100052,0.00100052
4,82.6805,0.15722,0.98049,1,0.06433,0.00087875,0.00087875,0.00087875
5,104.042,0.12922,0.97529,1,0.058,0.000755,0.000755,0.000755
6,123.242,0.10679,0.9857,1,0.04666,0.00063125,0.00063125,0.00063125
7,143.141,0.09053,0.9857,1,0.0471,0.0005075,0.0005075,0.0005075
8,163.257,0.07714,0.9844,1,0.04215,0.00038375,0.00038375,0.00038375
9,183.535,0.07164,0.9844,1,0.03824,0.00026,0.00026,0.00026
10,205.487,0.05402,0.987,1,0.03892,0.00013625,0.00013625,0.00013625
