epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,22.6291,0.55385,0.99137,1,0.02688,0.000414326,0.000414326,0.000414326
2,41.4915,0.08543,0.99753,1,0.00957,0.000748724,0.000748724,0.000748724
3,60.0461,0.06968,0.99014,1,0.02908,0.00100062,0.00100062,0.00100062
4,78.1586,0.05423,0.99877,1,0.01051,0.00087875,0.00087875,0.00087875
5,96.7296,0.07382,0.99753,1,0.00782,0.000755,0.000755,0.000755
6,114.964,0.03029,0.99877,1,0.00952,0.00063125,0.00063125,0.00063125
7,133.138,0.02397,1,1,0.00427,0.0005075,0.0005075,0.0005075
8,151.405,0.02269,1,1,0.00343,0.00038375,0.00038375,0.00038375
9,169.402,0.01951,1,1,0.00256,0.00026,0.00026,0.00026
10,187.757,0.01232,1,1,0.00222,0.00013625,0.00013625,0.00013625
