epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.111,0.29415,0.99595,1,0.02285,0.000550569,0.000550569,0.000550569
2,24.9998,0.07186,0.99393,1,0.01778,0.000996718,0.000996718,0.000996718
3,36.3529,0.07182,0.99393,1,0.01776,0.00133285,0.00133285,0.00133285
4,47.62,0.066,1,1,0.00955,0.0011719,0.0011719,0.0011719
5,59.4716,0.09836,0.97976,1,0.04969,0.00100687,0.00100687,0.00100687
6,70.6786,0.07269,0.99798,1,0.01056,0.000841835,0.000841835,0.000841835
7,81.7398,0.03225,0.99798,1,0.00375,0.000676802,0.000676802,0.000676802
8,92.8212,0.02008,1,1,0.00176,0.000511769,0.000511769,0.000511769
9,104.107,0.05259,1,1,0.00107,0.000346736,0.000346736,0.000346736
10,115.368,0.01226,1,1,0.00167,0.000181703,0.000181703,0.000181703
