epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,48.5652,0.70834,0.98099,1,0.06317,0.000369047,0.000369047,0.000369047
2,92.6918,0.15634,0.98327,1,0.06785,0.000666182,0.000666182,0.000666182
3,136.343,0.16422,0.99163,1,0.02324,0.000889991,0.000889991,0.000889991
4,180.661,0.11873,0.99544,1,0.01302,0.000781033,0.000781033,0.000781033
5,224.033,0.06894,0.99924,1,0.00517,0.000671044,0.000671044,0.000671044
6,280.594,0.05579,1,1,0.0015,0.000561055,0.000561055,0.000561055
7,368.374,0.03223,1,1,0.00268,0.000451066,0.000451066,0.000451066
8,412.161,0.03096,1,1,0.00117,0.000341077,0.000341077,0.000341077
9,456.236,0.02482,1,1,0.00125,0.000231088,0.000231088,0.000231088
10,499.225,0.0289,0.99848,1,0.0023,0.000121099,0.000121099,0.000121099
