epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,196.808,0.74063,0.87698,0.99661,0.32652,0.000255838,0.000255838,0.000255838
2,397.668,0.3256,0.89221,0.99718,0.29593,0.000461467,0.000461467,0.000461467
3,585.93,0.27242,0.92833,0.99887,0.21974,0.000616341,0.000616341,0.000616341
4,772.698,0.2356,0.93567,0.99887,0.18538,0.000540607,0.000540607,0.000540607
5,958.982,0.19427,0.94244,0.99887,0.1933,0.000464476,0.000464476,0.000464476
6,1145.58,0.16671,0.95034,0.99887,0.16526,0.000388345,0.000388345,0.000388345
7,1332.25,0.14259,0.95598,1,0.13824,0.000312214,0.000312214,0.000312214
8,1519.33,0.1192,0.95655,0.99887,0.14472,0.000236083,0.000236083,0.000236083
9,1706.96,0.11485,0.95824,0.99887,0.13064,0.000159952,0.000159952,0.000159952
10,1896.45,0.0934,0.95711,0.99887,0.13207,8.3821e-05,8.3821e-05,8.3821e-05
