epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.31991,0.24408,1,1,0.00207,0.000547614,0.000547614,0.000547614
2,15.9656,0.05111,1,1,0.00138,0.000994055,0.000994055,0.000994055
3,23.2411,0.03961,1,1,0.00044,0.00133048,0.00133048,0.00133048
4,30.4772,0.01256,1,1,0.0003,0.0011719,0.0011719,0.0011719
5,37.5628,0.00853,1,1,0.00155,0.00100687,0.00100687,0.00100687
6,44.7068,0.01824,1,1,0.00131,0.000841835,0.000841835,0.000841835
7,51.7129,0.02702,1,1,0.00022,0.000676802,0.000676802,0.000676802
8,58.862,0.0168,1,1,0.00027,0.000511769,0.000511769,0.000511769
9,65.8948,0.0102,1,1,0.00029,0.000346736,0.000346736,0.000346736
10,73.0678,0.00476,1,1,0.00028,0.000181703,0.000181703,0.000181703
