epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,38.5091,1.236,0.85458,1,0.42128,0.000366997,0.000366997,0.000366997
2,74.8602,0.46898,0.89641,1,0.30701,0.000664335,0.000664335,0.000664335
3,109.147,0.35507,0.90637,1,0.26879,0.000888346,0.000888346,0.000888346
4,143.623,0.30272,0.94223,1,0.14191,0.000781033,0.000781033,0.000781033
5,178.231,0.2509,0.96614,1,0.12437,0.000671044,0.000671044,0.000671044
6,212.718,0.24714,0.94622,1,0.16182,0.000561055,0.000561055,0.000561055
7,247.159,0.19977,0.96016,1,0.11719,0.000451066,0.000451066,0.000451066
8,281.936,0.16006,0.97012,1,0.08679,0.000341077,0.000341077,0.000341077
9,316.438,0.1513,0.95817,1,0.09992,0.000231088,0.000231088,0.000231088
10,350.727,0.08885,0.97012,1,0.08826,0.000121099,0.000121099,0.000121099
