epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,121.019,0.9709,0.93275,0.99917,0.20796,0.000237701,0.000237701,0.000237701
2,271.056,0.24011,0.96858,1,0.0971,0.000428606,0.000428606,0.000428606
3,373.728,0.17091,0.9763,0.99972,0.07124,0.000572388,0.000572388,0.000572388
4,474.511,0.13952,0.97051,0.99972,0.08417,0.000501942,0.000501942,0.000501942
5,558.306,0.1038,0.98815,1,0.03518,0.000431256,0.000431256,0.000431256
6,640.511,0.0742,0.99228,1,0.0254,0.00036057,0.00036057,0.00036057
7,721.384,0.06253,0.99366,1,0.02133,0.000289884,0.000289884,0.000289884
8,802.541,0.05651,0.99201,1,0.02057,0.000219198,0.000219198,0.000219198
9,886.197,0.04863,0.99559,1,0.01462,0.000148512,0.000148512,0.000148512
10,991.923,0.03409,0.99587,1,0.01388,7.7826e-05,7.7826e-05,7.7826e-05
