epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,166.42,0.69209,0.97217,1,0.10439,0.000413851,0.000413851,0.000413851
2,325.298,0.18202,0.95825,1,0.10568,0.000748297,0.000748297,0.000748297
3,485.51,0.15548,0.98211,1,0.05414,0.00100024,0.00100024,0.00100024
4,646.227,0.13719,0.97614,1,0.05886,0.00087875,0.00087875,0.00087875
5,807.184,0.12203,0.98012,1,0.05388,0.000755,0.000755,0.000755
6,967.718,0.09757,0.98608,1,0.03555,0.00063125,0.00063125,0.00063125
7,1127.84,0.06371,0.9841,1,0.03526,0.0005075,0.0005075,0.0005075
8,1287.41,0.07626,0.9841,1,0.04312,0.00038375,0.00038375,0.00038375
9,1446.35,0.04304,0.98807,1,0.02168,0.00026,0.00026,0.00026
10,1605.26,0.04152,0.99006,1,0.01839,0.00013625,0.00013625,0.00013625
